day,ticker,side,pool,entry,stop,target,rr_target,R,reason
2026-03-20,AMD,short,PMH,204.49,206.4,200.71,1.97,1.97,target
2026-03-24,TSLA,short,PMH,384.07,384.6,376.0,15.17,-1.0,stop
2026-03-25,SPY,short,PMH,660.14,661.22,656.32,3.54,3.54,target
2026-03-25,QQQ,short,PDH,587.91,589.14,584.42,2.83,-1.0,stop
2026-03-25,AAPL,short,PDH,254.14,255.12,252.61,1.57,1.57,target
2026-03-26,SPY,long,PDL,653.97,653.24,656.6,3.59,-1.0,stop
2026-03-26,QQQ,long,PML,581.7,580.17,588.1,4.16,-1.0,stop
2026-03-26,NVDA,long,PML,175.59,175.49,178.48,29.55,-1.0,stop
2026-03-26,TSLA,long,PML,380.46,379.29,386.27,4.96,-1.0,stop
2026-03-27,SPY,long,PML,640.45,640.25,649.76,45.34,-1.0,stop
2026-03-27,QQQ,long,PML,569.75,567.93,578.4,4.73,-1.0,stop
2026-03-27,NVDA,long,PML,169.75,169.39,173.79,10.91,-1.0,stop
2026-03-31,MSFT,short,PDH,364.99,365.64,361.02,6.03,-1.0,stop
2026-03-31,AMD,short,PMH,200.25,200.39,196.46,27.94,-1.0,stop
2026-04-01,AAPL,short,PDH,255.22,256.31,253.57,1.51,1.51,target
2026-04-01,MSFT,short,PDH,372.37,374.18,370.17,1.22,1.22,target
2026-04-02,NVDA,short,PMH,172.16,173.57,170.21,1.38,-1.0,stop
2026-04-02,MSFT,long,PDL,369.38,367.77,373.99,2.86,2.55,close
2026-04-07,SPY,long,PDL,655.75,654.9,659.72,4.65,-1.0,stop
2026-04-07,QQQ,long,PDL,585.41,584.26,589.9,3.9,-1.0,stop
2026-04-07,MSFT,long,PML,370.48,369.81,373.73,4.93,-1.0,stop
2026-04-09,TSLA,long,PML,338.8,338.42,346.45,20.19,-1.0,stop
2026-04-09,AMD,short,PDH,232.7,234.59,229.23,1.84,-1.0,stop
2026-04-10,SPY,short,PDH,680.87,681.67,678.91,2.46,-1.0,stop
2026-04-10,QQQ,short,PMH,612.43,613.49,609.06,3.2,-1.0,stop
2026-04-10,AAPL,short,PMH,259.86,260.77,258.44,1.56,-1.0,stop
2026-04-10,TSLA,short,PMH,347.78,347.81,344.51,96.49,-1.0,stop
2026-04-14,QQQ,short,PMH,622.37,622.65,616.93,19.69,-1.0,stop
2026-04-14,TSLA,short,PMH,358.97,361.18,354.02,2.24,-1.0,stop
2026-04-15,SPY,short,PMH,695.93,695.96,693.05,113.19,-1.0,stop
2026-04-15,QQQ,short,PDH,629.6,629.66,626.95,40.9,-1.0,stop
2026-04-15,AAPL,long,PML,259.47,257.68,261.93,1.37,1.37,target
2026-04-15,AMD,short,PMH,254.72,256.0,251.14,2.82,-1.0,stop
2026-04-16,SPY,short,PDH,700.62,701.32,699.82,1.14,1.14,target
2026-04-16,NVDA,long,PML,197.08,196.45,200.22,4.99,-1.0,stop
2026-04-16,MSFT,short,PDH,413.39,415.38,396.73,8.39,-1.0,stop
2026-04-16,AMD,short,PMH,267.96,268.84,257.1,12.21,-1.0,stop
2026-04-17,MSFT,short,PMH,428.02,428.5,418.7,19.47,-1.0,stop
2026-04-21,TSLA,long,PML,393.13,392.2,396.62,3.74,-1.0,stop
2026-04-21,AMD,short,PMH,279.17,280.2,275.5,3.54,-1.0,stop
2026-04-22,SPY,short,PMH,709.6,710.22,707.1,3.96,-1.0,stop
2026-04-22,QQQ,short,PDH,649.42,650.78,647.51,1.4,-1.0,stop
2026-04-23,SPY,short,PMH,709.96,711.64,708.22,1.04,-1.0,stop
2026-04-23,QQQ,short,PDH,655.15,655.72,650.6,8.1,-1.0,stop
2026-04-24,NVDA,short,PMH,202.44,203.32,199.01,3.87,-1.0,stop
2026-04-24,MSFT,long,PML,418.38,415.59,422.26,1.39,1.39,target
2026-04-24,AMD,short,PMH,343.77,347.64,326.3,4.52,-1.0,stop
2026-04-28,SPY,long,PDL,712.44,711.62,715.63,3.88,-1.0,stop
2026-04-28,QQQ,long,PML,655.56,653.77,664.21,4.84,1.12,close
2026-04-28,NVDA,long,PML,209.73,208.54,216.82,5.94,-1.0,stop
2026-04-28,TSLA,short,PMH,378.52,379.07,372.05,11.78,-1.0,stop
2026-04-28,MSFT,short,PDH,426.67,428.29,418.0,5.34,-1.0,stop
2026-04-29,QQQ,long,PML,658.33,657.51,659.64,1.61,1.61,target
2026-04-29,AAPL,long,PML,267.89,266.91,270.13,2.28,2.28,target
2026-04-29,MSFT,long,PDL,423.36,421.57,429.89,3.65,-1.0,stop
2026-04-30,SPY,short,PDH,712.31,712.79,708.37,8.18,-1.0,stop
2026-04-30,QQQ,short,PDH,661.53,662.47,658.17,3.58,3.58,target
